code,secteur_code,libelle_en,libelle_fr,libelle_en_base,cle_appariement,ordre
aerospace__aircraft,aerospace,Aircraft,Aéronefs,Aircraft,aircraft,1
aerospace__aircraft_engines_other_parts_and_auxilia,aerospace,"Aircraft engines, other parts & auxiliary equipment","Moteurs d'aéronefs, autres pièces et équipements auxiliaires","Aircraft engines, other parts & auxiliary equipment",aircraft engines other parts and auxiliary equipment,2
aerospace__other,aerospace,Other (Aerospace),Autres (Aéronautique),Other,other,3
automotive_components__motor_vehicle_and_parts_dealers,automotive_components,Motor vehicle & parts dealers (Automotive Components),Concessionnaires de véhicules automobiles et pièces détachées (Équipementiers automobiles),Motor vehicle & parts dealers,motor vehicle and parts dealers,4
automotive_components__motor_vehicle_body_and_trailers,automotive_components,Motor vehicle body & trailers,Carrosseries et remorques automobiles,Motor vehicle body & trailers,motor vehicle body and trailers,5
automotive_components__motor_vehicle_brake_systems,automotive_components,Motor vehicle brake systems,Systèmes de freinage automobile,Motor vehicle brake systems,motor vehicle brake systems,6
automotive_components__motor_vehicle_electrical_and_electronic,automotive_components,Motor vehicle electrical & electronic equipment,Équipements électriques et électroniques automobiles,Motor vehicle electrical & electronic equipment,motor vehicle electrical and electronic equipment,7
automotive_components__motor_vehicle_gasoline_engines_and_engin,automotive_components,Motor vehicle gasoline engines & engine parts,Moteurs à essence automobiles et pièces de moteur,Motor vehicle gasoline engines & engine parts,motor vehicle gasoline engines and engine parts,8
automotive_components__motor_vehicle_metal_stamping,automotive_components,Motor vehicle metal stamping,Emboutissage de métaux automobile,Motor vehicle metal stamping,motor vehicle metal stamping,9
automotive_components__motor_vehicle_seating_and_interior_trim,automotive_components,Motor vehicle seating & interior trim,Sièges et garnitures intérieures automobiles,Motor vehicle seating & interior trim,motor vehicle seating and interior trim,10
automotive_components__motor_vehicle_steering_and_suspension_co,automotive_components,Motor vehicle steering & suspension components,Composants de direction et de suspension automobile,Motor vehicle steering & suspension components,motor vehicle steering and suspension components,11
automotive_components__motor_vehicle_transmission_and_power_tra,automotive_components,Motor vehicle transmission & power train parts,Transmissions et pièces de groupe motopropulseur automobile,Motor vehicle transmission & power train parts,motor vehicle transmission and power train parts,12
automotive_components__other_motor_vehicle_parts,automotive_components,Other motor vehicle parts,Autres pièces automobiles,Other motor vehicle parts,other motor vehicle parts,13
automotive_oem__all_other_transportation,automotive_oem,All other transportation (Automotive OEM),Autres matériels de transport (Constructeurs automobiles),All other transportation,all other transportation,14
automotive_oem__automobiles,automotive_oem,Automobiles,Automobiles (véhicules particuliers),Automobiles,automobiles,15
automotive_oem__heavy_duty_trucks,automotive_oem,Heavy duty trucks,Poids lourds,Heavy duty trucks,heavy duty trucks,16
automotive_oem__light_trucks_and_utility_vehicles,automotive_oem,Light trucks & utility vehicles,Camionnettes et véhicules utilitaires légers,Light trucks & utility vehicles,light trucks and utility vehicles,17
automotive_oem__motor_vehicle_and_parts_dealers,automotive_oem,Motor vehicle & parts dealers (Automotive OEM),Concessionnaires de véhicules automobiles et pièces détachées (Constructeurs automobiles),Motor vehicle & parts dealers,motor vehicle and parts dealers,18
biotechnology__biological_products,biotechnology,Biological products (except diagnostic),Produits biologiques (hors diagnostic),Biological products,biological products,19
biotechnology__in_vitro_diagnostic_substances,biotechnology,In-Vitro diagnostic substances,Substances de diagnostic in vitro,In-Vitro diagnostic substances,in vitro diagnostic substances,20
biotechnology__other,biotechnology,Other (Biotechnology),Autres (Biotechnologies),Other,other,21
building_materials__asphalt_paving_roofing_and_saturated_mat,building_materials,"Asphalt paving, roofing, & saturated materials","Revêtements routiers en asphalte, matériaux de toiture et produits saturés","Asphalt paving, roofing, & saturated materials",asphalt paving roofing and saturated materials,22
building_materials__building_material_and_garden_equipment_a,building_materials,Building material & garden equipment & supplies dealers (Building materials),Négoce de matériaux de construction et d'équipements de jardin (Matériaux de construction),Building material & garden equipment & supplies dealers,building material and garden equipment and supplies dealers,23
building_materials__cement_and_concrete_products,building_materials,Cement & concrete products,Ciment et produits en béton,Cement & concrete products,cement and concrete products,24
building_materials__other,building_materials,Other (Building materials ),Autres (Matériaux de construction),Other,other,25
business_machines_and_equipment__computer_and_peripheral_equipment,business_machines_and_equipment,Computer & peripheral equipment,Ordinateurs et équipements périphériques,Computer & peripheral equipment,computer and peripheral equipment,26
business_machines_and_equipment__other,business_machines_and_equipment,Other (Business machines & equipment),Autres (Machines et équipements de bureau),Other,other,27
business_services__accounting_tax_preparation_bookkeeping_a,business_services,"Accounting, tax preparation, bookkeeping, & payroll services","Comptabilité, préparation fiscale, tenue de livres et gestion de la paie","Accounting, tax preparation, bookkeeping, & payroll services",accounting tax preparation bookkeeping and payroll services,28
business_services__advertising_pr_and_related,business_services,"Advertising, PR, & related","Publicité, relations publiques et activités connexes","Advertising, PR, & related",advertising pr and related,29
business_services__architectural_engineering_and_related_se,business_services,"Architectural, engineering, & related services","Architecture, ingénierie et services connexes","Architectural, engineering, & related services",architectural engineering and related services,30
business_services__business_schools_computer_and_management,business_services,"Business schools, computer & management training","Écoles de commerce, formation en informatique et en gestion","Business schools, computer & management training",business schools computer and management training,31
business_services__business_support_services,business_services,Business support services,Services de soutien aux entreprises,Business support services,business support services,32
business_services__educational_support_services,business_services,Educational support services,Services de soutien à l'enseignement,Educational support services,educational support services,33
business_services__employment_services,business_services,Employment services,Services de placement et de recrutement,Employment services,employment services,34
business_services__environmental_consulting_services,business_services,Environmental consulting services,Services de conseil en environnement,Environmental consulting services,environmental consulting services,35
business_services__heavy_and_civil_engineering,business_services,Heavy & civil engineering,Génie civil et travaux publics,Heavy & civil engineering,heavy and civil engineering,36
business_services__legal_services,business_services,Legal services,Services juridiques,Legal services,legal services,37
business_services__management_consulting_services,business_services,Management consulting services,Services de conseil en gestion,Management consulting services,management consulting services,38
business_services__newspaper_periodical_book_and_directory,business_services,"Newspaper, periodical, book, & directory publishers","Édition de journaux, périodiques, livres et annuaires","Newspaper, periodical, book, & directory publishers",newspaper periodical book and directory publishers,39
business_services__other_support_services,business_services,Other support services,Autres services de soutien,Other support services,other support services,40
business_services__professional_scientific_and_technical_se,business_services,"Professional, scientific & technical services","Services professionnels, scientifiques et techniques","Professional, scientific & technical services",professional scientific and technical services,41
business_services__schools_colleges_universities_and_profes,business_services,"Schools, colleges, universities, & professional schools","Écoles, collèges, universités et écoles professionnelles","Schools, colleges, universities, & professional schools",schools colleges universities and professional schools,42
business_services__specialised_design_services,business_services,Specialised design services,Services spécialisés de design,Specialised design services,specialised design services,43
business_services__speciality_trade_contractors,business_services,Speciality trade contractors,Entrepreneurs spécialisés des métiers du bâtiment,Speciality trade contractors,speciality trade contractors,44
business_services__technical_trade_and_other_schools,business_services,"Technical, trade & other schools","Écoles techniques, professionnelles et autres","Technical, trade & other schools",technical trade and other schools,45
business_services__waste_management_and_remediation_service,business_services,Waste management & remediation services,Gestion des déchets et services de dépollution,Waste management & remediation services,waste management and remediation services,46
business_services__water_sewage_and_other_systems,business_services,"Water, sewage & other systems","Eau, assainissement et autres réseaux","Water, sewage & other systems",water sewage and other systems,47
ceramics_and_glass__clay_product_and_refractory,ceramics_and_glass,Clay product & refractory,Produits en argile et réfractaires,Clay product & refractory,clay product and refractory,48
