ligne,date,parent,entreprise,source,dest,secteur,sous_secteur,activite,capex,emplois,type
1,Mar 2014,SEA-ME-WE 5,SEA-ME-WE 5,Singapore,Djibouti,Communications,Wired telecommunic…,ICT & Internet Infras…,* $122.20m,* 100,New
2,Jan 2014,TouchRoad Group,TouchRoad Group,China,Djibouti,Real estate,Industrial building co…,Construction,* $704.50m,* 578,New
3,Nov 2013,Level 3 Communic…,Level 3 Communic…,United States,Djibouti,Communications,Wired telecommunic…,ICT & Internet Infras…,* $122.20m,* 100,New
4,Jun 2013,AAE-1 Consortium,AAE-1 Consortium,China,Djibouti,Communications,Wired telecommunic…,ICT & Internet Infras…,* $46.15m,* 7,New
5,May 2013,Ayed Eagle Group,Industrial Mainten…,Tunisia,Djibouti,"Coal, oil & gas",Support activities for…,"Sales, Marketing & S…",* $7.80m,* 30,New
6,Jan 2013,PAT Engineering E…,PAT Engineering E…,United States,Djibouti,Business services,Heavy & civil engine…,Business Services,* $27.80m,* 38,New
7,Nov 2012,SEKO Worldwide,SEKO Worldwide,United States,Djibouti,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $6.30m,* 18,New
8,Jan 2012,Saur Group,Stereau,France,Djibouti,Business services,"Water, sewage & oth…",Business Services,* $6.80m,* 15,New
9,Aug 2010,Dubai World,Economic Zones …,UAE,Djibouti,Real estate,Commercial & institu…,Construction,* $864.90m,* 875,New
10,Apr 2010,Exim Bank (Tanza…,Exim Bank (Tanza…,Tanzania,Djibouti,Financial services,Retail banking,Business Services,* $11.00m,* 18,New
11,Feb 2010,AP Moller - Maersk,Damco,Denmark,Djibouti,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $15.30m,* 10,New
12,May 2009,Bahrain Maritime …,Bahrain Maritime …,Bahrain,Djibouti,Transportation & Wa…,Freight/Distribution …,"Sales, Marketing & S…",* $15.30m,* 10,New
13,Jan 2009,Bayan Holding,Al Noor Holding,Kuwait,Djibouti,Real estate,Real estate services,Construction,* $864.90m,* 875,New
14,Nov 2008,Gras Savoye,Gras Savoye,France,Djibouti,Financial services,Insurance,"Sales, Marketing & S…",* $10.80m,* 78,New
15,Aug 2008,Reykjavik Energy …,Reykjavik Energy …,Iceland,Djibouti,Renewable energy,Geothermal electric …,Electricity,* $231.70m,* 54,New
