continent,sens,annee,valeur,poids,edition
Europe,export,2021,831900,1184633,2025
Europe,export,2022,891411,1025172,2025
Europe,export,2023,793637,1022308,2025
Europe,export,2024,1064313,1642367,2025
Europe,export,2025,2424816,4771338,2025
Afrique,export,2021,1152121,4889026,2025
Afrique,export,2022,1404451,4208747,2025
Afrique,export,2023,1409238,4639324,2025
Afrique,export,2024,1446165,5049665,2025
Afrique,export,2025,1679978,5761428,2025
Amérique,export,2021,114152,248837,2025
Amérique,export,2022,124436,167922,2025
Amérique,export,2023,122255,187539,2025
Amérique,export,2024,156728,203318,2025
Amérique,export,2025,261196,646639,2025
Asie,export,2021,577450,1430816,2025
Asie,export,2022,866602,1360119,2025
Asie,export,2023,626789,1309906,2025
Asie,export,2024,922510,2285926,2025
Asie,export,2025,1056632,2718344,2025
Océanie,export,2021,122348,2292,2025
Océanie,export,2022,142974,3195,2025
Océanie,export,2023,109111,21789,2025
Océanie,export,2024,90111,2643,2025
Océanie,export,2025,206141,1955,2025
Divers,export,2021,86830,282723,2025
Divers,export,2022,133485,204812,2025
Divers,export,2023,162901,247750,2025
Divers,export,2024,229230,415986,2025
Divers,export,2025,176863,286645,2025
