groupe,sens,annee,valeur,poids,edition
"Alimentation, boissons et tabacs",export,2021,697972,890008,2025
"Alimentation, boissons et tabacs",export,2022,851722,887204,2025
"Alimentation, boissons et tabacs",export,2023,780622,858499,2025
"Alimentation, boissons et tabacs",export,2024,756526,767894,2025
"Alimentation, boissons et tabacs",export,2025,839935,847353,2025
Énergie et lubrifiants,export,2021,447966,1376651,2025
Énergie et lubrifiants,export,2022,650468,1079559,2025
Énergie et lubrifiants,export,2023,692543,1256269,2025
Énergie et lubrifiants,export,2024,1256813,2840023,2025
Énergie et lubrifiants,export,2025,2504668,7497248,2025
Matières premières animales et végétales,export,2021,188585,377392,2025
Matières premières animales et végétales,export,2022,137507,222971,2025
Matières premières animales et végétales,export,2023,89436,146677,2025
Matières premières animales et végétales,export,2024,99689,170408,2025
Matières premières animales et végétales,export,2025,47927,58356,2025
Matières premières minérales,export,2021,223429,2056774,2025
Matières premières minérales,export,2022,316163,2003890,2025
Matières premières minérales,export,2023,265917,1915554,2025
Matières premières minérales,export,2024,306372,2355070,2025
Matières premières minérales,export,2025,271587,2030077,2025
Autres demi-produits,export,2021,572428,3192892,2025
Autres demi-produits,export,2022,806928,2665415,2025
Autres demi-produits,export,2023,648568,3138146,2025
Autres demi-produits,export,2024,658504,3343045,2025
Autres demi-produits,export,2025,711452,3598944,2025
Produits finis destinés à l'agriculture,export,2021,163,56,2025
Produits finis destinés à l'agriculture,export,2022,222,99,2025
Produits finis destinés à l'agriculture,export,2023,254,56,2025
Produits finis destinés à l'agriculture,export,2024,402,95,2025
Produits finis destinés à l'agriculture,export,2025,643,141,2025
Produits finis destinés à l'industrie,export,2021,60019,18481,2025
Produits finis destinés à l'industrie,export,2022,54318,12990,2025
Produits finis destinés à l'industrie,export,2023,58448,15790,2025
Produits finis destinés à l'industrie,export,2024,85484,43210,2025
Produits finis destinés à l'industrie,export,2025,212393,60724,2025
Produits finis destinés à la consommation,export,2021,154463,126055,2025
Produits finis destinés à la consommation,export,2022,165424,97822,2025
Produits finis destinés à la consommation,export,2023,157734,97608,2025
Produits finis destinés à la consommation,export,2024,156765,80144,2025
Produits finis destinés à la consommation,export,2025,239025,93485,2025
Or industriel,export,2021,539778,19,2025
Or industriel,export,2022,580607,18,2025
Or industriel,export,2023,530410,17,2025
Or industriel,export,2024,588502,16,2025
Or industriel,export,2025,977997,19,2025
"Alimentation, boissons et tabacs",import,2021,1098832,3565834,2025
"Alimentation, boissons et tabacs",import,2022,1371667,4050731,2025
"Alimentation, boissons et tabacs",import,2023,1282275,4151577,2025
"Alimentation, boissons et tabacs",import,2024,1288469,4414749,2025
"Alimentation, boissons et tabacs",import,2025,1344540,4764538,2025
Énergie et lubrifiants,import,2021,1358956,5076918,2025
Énergie et lubrifiants,import,2022,2389906,5039603,2025
Énergie et lubrifiants,import,2023,2140360,5888338,2025
Énergie et lubrifiants,import,2024,2186990,6341760,2025
Énergie et lubrifiants,import,2025,1953086,6440895,2025
Matières premières animales et végétales,import,2021,81893,173170,2025
Matières premières animales et végétales,import,2022,108883,254400,2025
Matières premières animales et végétales,import,2023,93909,302578,2025
Matières premières animales et végétales,import,2024,94909,227331,2025
Matières premières animales et végétales,import,2025,90525,226531,2025
Matières premières minérales,import,2021,110055,979093,2025
Matières premières minérales,import,2022,186649,910592,2025
Matières premières minérales,import,2023,94450,1073333,2025
Matières premières minérales,import,2024,90629,960863,2025
Matières premières minérales,import,2025,140484,931662,2025
Autres demi-produits,import,2021,1168732,3364208,2025
Autres demi-produits,import,2022,1543340,3226693,2025
Autres demi-produits,import,2023,1379389,2673074,2025
Autres demi-produits,import,2024,1229328,2393684,2025
Autres demi-produits,import,2025,1279100,2740557,2025
Produits finis destinés à l'agriculture,import,2021,14619,6723,2025
Produits finis destinés à l'agriculture,import,2022,12283,5756,2025
Produits finis destinés à l'agriculture,import,2023,16154,7657,2025
Produits finis destinés à l'agriculture,import,2024,13144,7119,2025
Produits finis destinés à l'agriculture,import,2025,13621,8222,2025
Produits finis destinés à l'industrie,import,2021,854435,293568,2025
Produits finis destinés à l'industrie,import,2022,1192982,368362,2025
Produits finis destinés à l'industrie,import,2023,1374060,378126,2025
Produits finis destinés à l'industrie,import,2024,1236153,382075,2025
Produits finis destinés à l'industrie,import,2025,1310472,408716,2025
Produits finis destinés à la consommation,import,2021,690971,605435,2025
Produits finis destinés à la consommation,import,2022,743526,641138,2025
Produits finis destinés à la consommation,import,2023,825934,695688,2025
Produits finis destinés à la consommation,import,2024,872146,792434,2025
Produits finis destinés à la consommation,import,2025,842008,829747,2025
Or industriel,import,2021,1,0,2025
Or industriel,import,2022,128,0,2025
Or industriel,import,2023,1274,0,2025
Or industriel,import,2024,609,0,2025
Or industriel,import,2025,24,0,2025
