region,sens,annee,valeur,poids,edition
Union européenne,export,2021,327069,553995,2025
Union européenne,export,2022,354541,552770,2025
Union européenne,export,2023,297088,622871,2025
Union européenne,export,2024,459469,991966,2025
Union européenne,export,2025,1549081,4152963,2025
Autres pays d'Europe,export,2021,504832,630639,2025
Autres pays d'Europe,export,2022,536871,472402,2025
Autres pays d'Europe,export,2023,496549,399437,2025
Autres pays d'Europe,export,2024,604844,650401,2025
Autres pays d'Europe,export,2025,875735,618375,2025
Afrique centrale,export,2021,56135,47090,2025
Afrique centrale,export,2022,47261,46736,2025
Afrique centrale,export,2023,53404,44378,2025
Afrique centrale,export,2024,43047,37346,2025
Afrique centrale,export,2025,60679,39385,2025
Afrique du Nord,export,2021,10175,9607,2025
Afrique du Nord,export,2022,19691,19828,2025
Afrique du Nord,export,2023,26575,22723,2025
Afrique du Nord,export,2024,38003,29022,2025
Afrique du Nord,export,2025,83948,260873,2025
Afrique occidentale,export,2021,1078579,4768169,2025
Afrique occidentale,export,2022,1330147,4137996,2025
Afrique occidentale,export,2023,1322560,4568833,2025
Afrique occidentale,export,2024,1353306,4956104,2025
Afrique occidentale,export,2025,1526954,5458050,2025
Afrique orientale et du Sud,export,2021,7232,64160,2025
Afrique orientale et du Sud,export,2022,7353,4187,2025
Afrique orientale et du Sud,export,2023,6700,3391,2025
Afrique orientale et du Sud,export,2024,11809,27193,2025
Afrique orientale et du Sud,export,2025,8397,3121,2025
Amérique du Nord,export,2021,70741,145656,2025
Amérique du Nord,export,2022,104844,108531,2025
Amérique du Nord,export,2023,96709,70589,2025
Amérique du Nord,export,2024,136216,73456,2025
Amérique du Nord,export,2025,225952,516430,2025
Amérique centrale et du Sud,export,2021,43412,103182,2025
Amérique centrale et du Sud,export,2022,19592,59390,2025
Amérique centrale et du Sud,export,2023,25545,116950,2025
Amérique centrale et du Sud,export,2024,20512,129862,2025
Amérique centrale et du Sud,export,2025,35244,130208,2025
Asie occidentale,export,2021,43590,186163,2025
Asie occidentale,export,2022,68506,189552,2025
Asie occidentale,export,2023,58694,6770,2025
Asie occidentale,export,2024,56779,3896,2025
Asie occidentale,export,2025,107833,142654,2025
Autres pays d'Asie,export,2021,533860,1244653,2025
Autres pays d'Asie,export,2022,798096,1170568,2025
Autres pays d'Asie,export,2023,568095,1303136,2025
Autres pays d'Asie,export,2024,865731,2282030,2025
Autres pays d'Asie,export,2025,948799,2575690,2025
Océanie,export,2021,122348,2292,2025
Océanie,export,2022,142974,3195,2025
Océanie,export,2023,109111,21789,2025
Océanie,export,2024,90111,2643,2025
Océanie,export,2025,206141,1955,2025
Divers,export,2021,86830,282723,2025
Divers,export,2022,133485,204812,2025
Divers,export,2023,162901,247750,2025
Divers,export,2024,229230,415986,2025
Divers,export,2025,176863,286645,2025
