continent,sens,annee,valeur,poids,edition
Europe,export,2016,404559,853724,2020
Europe,export,2017,470250,978264,2020
Europe,export,2018,617732,788662,2020
Europe,export,2019,705048,910277,2020
Europe,export,2020,583895,831877,2020
Afrique,export,2016,715531,4361890,2020
Afrique,export,2017,810530,4408343,2020
Afrique,export,2018,868684,3992134,2020
Afrique,export,2019,1053940,4566014,2020
Afrique,export,2020,970758,4368966,2020
Amérique,export,2016,47140,117625,2020
Amérique,export,2017,73497,234551,2020
Amérique,export,2018,75825,138427,2020
Amérique,export,2019,89980,181152,2020
Amérique,export,2020,88486,172727,2020
Asie,export,2016,324365,868075,2020
Asie,export,2017,305203,933835,2020
Asie,export,2018,335815,1005052,2020
Asie,export,2019,482415,1317856,2020
Asie,export,2020,406667,1140316,2020
Océanie,export,2016,327,521,2020
Océanie,export,2017,631,551,2020
Océanie,export,2018,5547,50713,2020
Océanie,export,2019,3193,1822,2020
Océanie,export,2020,124100,798,2020
Divers,export,2016,59367,211082,2020
Divers,export,2017,90201,279609,2020
Divers,export,2018,112076,316572,2020
Divers,export,2019,112090,281047,2020
Divers,export,2020,87441,276153,2020
Europe,import,2016,1458903,3794437,2020
Europe,import,2017,1828936,4308923,2020
Europe,import,2018,2210881,5608030,2020
Europe,import,2019,2662863,6197446,2020
Europe,import,2020,2405439,6482950,2020
Afrique,import,2016,549524,2308556,2020
Afrique,import,2017,654388,2529335,2020
Afrique,import,2018,720194,2639564,2020
Afrique,import,2019,608533,2220386,2020
Afrique,import,2020,647692,2661992,2020
Amérique,import,2016,220361,683282,2020
Amérique,import,2017,275039,1071075,2020
Amérique,import,2018,276298,1081625,2020
Amérique,import,2019,282925,988132,2020
Amérique,import,2020,328799,1129397,2020
Asie,import,2016,971744,2223353,2020
Asie,import,2017,1114326,2448036,2020
Asie,import,2018,1260724,2562969,2020
Asie,import,2019,1195078,2310835,2020
Asie,import,2020,1083712,2670372,2020
Océanie,import,2016,13012,7238,2020
Océanie,import,2017,30165,8690,2020
Océanie,import,2018,12140,5770,2020
Océanie,import,2019,9139,3689,2020
Océanie,import,2020,19220,3701,2020
Divers,import,2016,4971,7861,2020
Divers,import,2017,5851,12658,2020
Divers,import,2018,7761,14050,2020
Divers,import,2019,15394,74379,2020
Divers,import,2020,9552,40345,2020
