pays,region,sens,annee,valeur,poids,edition
ALLEMAGNE,Union européenne,export,2018,3149,3472,2022
ALLEMAGNE,Union européenne,export,2019,3354,3005,2022
ALLEMAGNE,Union européenne,export,2020,4226,2818,2022
ALLEMAGNE,Union européenne,export,2021,1978,1989,2022
ALLEMAGNE,Union européenne,export,2022,2143,2663,2022
AUTRICHE,Union européenne,export,2018,109,22,2022
AUTRICHE,Union européenne,export,2019,134,38,2022
AUTRICHE,Union européenne,export,2020,140,65,2022
AUTRICHE,Union européenne,export,2021,104,37,2022
AUTRICHE,Union européenne,export,2022,117,31,2022
BELGIQUE-LUXEMBOURG,Union européenne,export,2018,15407,75566,2022
BELGIQUE-LUXEMBOURG,Union européenne,export,2019,28287,105812,2022
BELGIQUE-LUXEMBOURG,Union européenne,export,2020,27888,35169,2022
BELGIQUE-LUXEMBOURG,Union européenne,export,2021,12055,30298,2022
BELGIQUE-LUXEMBOURG,Union européenne,export,2022,31490,57998,2022
BULGARIE,Union européenne,export,2018,494,4700,2022
BULGARIE,Union européenne,export,2019,520,772,2022
BULGARIE,Union européenne,export,2020,236,271,2022
BULGARIE,Union européenne,export,2021,418,254,2022
BULGARIE,Union européenne,export,2022,382,284,2022
CHYPRE,Union européenne,export,2018,744,101,2022
CHYPRE,Union européenne,export,2019,661,89,2022
CHYPRE,Union européenne,export,2020,153,19,2022
CHYPRE,Union européenne,export,2021,154,19,2022
CHYPRE,Union européenne,export,2022,2694,48,2022
CROATIE,Union européenne,export,2018,0,,2022
CROATIE,Union européenne,export,2019,29,21,2022
CROATIE,Union européenne,export,2020,0,,2022
CROATIE,Union européenne,export,2021,21,7,2022
CROATIE,Union européenne,export,2022,38,19,2022
DANEMARK,Union européenne,export,2018,402,497,2022
DANEMARK,Union européenne,export,2019,213,171,2022
DANEMARK,Union européenne,export,2020,1044,975,2022
DANEMARK,Union européenne,export,2021,206,105,2022
DANEMARK,Union européenne,export,2022,434,373,2022
ESPAGNE,Union européenne,export,2018,77161,73812,2022
ESPAGNE,Union européenne,export,2019,89184,118470,2022
ESPAGNE,Union européenne,export,2020,71743,91304,2022
ESPAGNE,Union européenne,export,2021,108600,157690,2022
ESPAGNE,Union européenne,export,2022,126676,108345,2022
FINLANDE,Union européenne,export,2018,12,14,2022
FINLANDE,Union européenne,export,2019,2844,33005,2022
FINLANDE,Union européenne,export,2020,10,1,2022
FINLANDE,Union européenne,export,2021,12,11,2022
FINLANDE,Union européenne,export,2022,12,10,2022
FRANCE,Union européenne,export,2018,46953,40026,2022
FRANCE,Union européenne,export,2019,51211,32832,2022
FRANCE,Union européenne,export,2020,44224,66772,2022
FRANCE,Union européenne,export,2021,49565,99683,2022
FRANCE,Union européenne,export,2022,47854,115236,2022
GRECE,Union européenne,export,2018,3101,434,2022
GRECE,Union européenne,export,2019,4598,738,2022
GRECE,Union européenne,export,2020,3969,913,2022
GRECE,Union européenne,export,2021,7832,1312,2022
GRECE,Union européenne,export,2022,13438,1164,2022
HONGRIE,Union européenne,export,2018,39,4,2022
HONGRIE,Union européenne,export,2019,89,110,2022
HONGRIE,Union européenne,export,2020,18,3,2022
HONGRIE,Union européenne,export,2021,8980,15,2022
HONGRIE,Union européenne,export,2022,1,1,2022
IRLANDE,Union européenne,export,2018,140,134,2022
IRLANDE,Union européenne,export,2019,20,200,2022
IRLANDE,Union européenne,export,2020,302,283,2022
IRLANDE,Union européenne,export,2021,0,,2022
IRLANDE,Union européenne,export,2022,0,0,2022
ITALIE,Union européenne,export,2018,60941,40558,2022
ITALIE,Union européenne,export,2019,59636,39958,2022
ITALIE,Union européenne,export,2020,31077,20761,2022
ITALIE,Union européenne,export,2021,60659,26905,2022
ITALIE,Union européenne,export,2022,62840,24519,2022
MALTE,Union européenne,export,2018,347,61,2022
MALTE,Union européenne,export,2019,230,41,2022
MALTE,Union européenne,export,2020,99,57,2022
MALTE,Union européenne,export,2021,77,35,2022
MALTE,Union européenne,export,2022,80,77,2022
PAYS BAS,Union européenne,export,2018,51453,194654,2022
PAYS BAS,Union européenne,export,2019,32145,79291,2022
PAYS BAS,Union européenne,export,2020,39549,133599,2022
PAYS BAS,Union européenne,export,2021,66199,209845,2022
PAYS BAS,Union européenne,export,2022,40907,72569,2022
POLOGNE,Union européenne,export,2018,1732,41957,2022
POLOGNE,Union européenne,export,2019,5585,81669,2022
POLOGNE,Union européenne,export,2020,998,23707,2022
POLOGNE,Union européenne,export,2021,775,23841,2022
POLOGNE,Union européenne,export,2022,15864,166196,2022
PORTUGAL,Union européenne,export,2018,5567,2641,2022
PORTUGAL,Union européenne,export,2019,5438,3690,2022
PORTUGAL,Union européenne,export,2020,2492,1419,2022
PORTUGAL,Union européenne,export,2021,4561,1706,2022
PORTUGAL,Union européenne,export,2022,8989,2729,2022
REPUBLIQUE D'ESTONIE,Union européenne,export,2018,23,52,2022
REPUBLIQUE D'ESTONIE,Union européenne,export,2019,3,2,2022
REPUBLIQUE D'ESTONIE,Union européenne,export,2020,0,,2022
REPUBLIQUE D'ESTONIE,Union européenne,export,2021,0,,2022
REPUBLIQUE D'ESTONIE,Union européenne,export,2022,0,,2022
REPUBLIQUE DE LETTONIE,Union européenne,export,2018,46,168,2022
REPUBLIQUE DE LETTONIE,Union européenne,export,2019,0,,2022
REPUBLIQUE DE LETTONIE,Union européenne,export,2020,22,63,2022
REPUBLIQUE DE LETTONIE,Union européenne,export,2021,0,,2022
REPUBLIQUE DE LETTONIE,Union européenne,export,2022,8,0,2022
REPUBLIQUE DE LITUANIE,Union européenne,export,2018,8,4,2022
REPUBLIQUE DE LITUANIE,Union européenne,export,2019,0,,2022
REPUBLIQUE DE LITUANIE,Union européenne,export,2020,57,85,2022
REPUBLIQUE DE LITUANIE,Union européenne,export,2021,85,180,2022
REPUBLIQUE DE LITUANIE,Union européenne,export,2022,197,146,2022
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2018,1,0,2022
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2019,0,,2022
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2020,129,51,2022
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2021,0,,2022
REPUBLIQUE DE SLOVAQUIE,Union européenne,export,2022,7,1,2022
