sens,mesure,annee,total,edition
export,valeur,2018,2015679,2022
export,valeur,2019,2446666,2022
export,valeur,2020,2261346,2022
export,valeur,2021,2884802,2022
export,valeur,2022,3563359,2022
export,poids,2018,6291560,2022
export,poids,2019,7258168,2022
export,poids,2020,6790837,2022
export,poids,2021,8038328,2022
export,poids,2022,6969968,2022
import,valeur,2018,4487999,2022
import,valeur,2019,4773932,2022
import,valeur,2020,4494412,2022
import,valeur,2021,5378494,2022
import,valeur,2022,7549364,2022
import,poids,2018,11912008,2022
import,poids,2019,11794868,2022
import,poids,2020,12988757,2022
import,poids,2021,14064950,2022
import,poids,2022,14497275,2022
