produit,sens,annee,valeur,poids,edition
Animaux vivants,export,2020,146,9,2024
Animaux vivants,export,2021,45,3,2024
Animaux vivants,export,2022,25,1,2024
Animaux vivants,export,2023,57,6,2024
Animaux vivants,export,2024,159,18,2024
Poisson frais de mer,export,2020,193606,309381,2024
Poisson frais de mer,export,2021,192498,280058,2024
Poisson frais de mer,export,2022,211364,260177,2024
Poisson frais de mer,export,2023,192025,238307,2024
Poisson frais de mer,export,2024,183510,210371,2024
"Crustacés, mollusques et coquillages",export,2020,52324,16862,2024
"Crustacés, mollusques et coquillages",export,2021,106966,25253,2024
"Crustacés, mollusques et coquillages",export,2022,163614,24125,2024
"Crustacés, mollusques et coquillages",export,2023,104674,21064,2024
"Crustacés, mollusques et coquillages",export,2024,88827,20104,2024
Légumes frais,export,2020,35635,39662,2024
Légumes frais,export,2021,41470,46506,2024
Légumes frais,export,2022,35222,38670,2024
Légumes frais,export,2023,44127,42069,2024
Légumes frais,export,2024,36898,45083,2024
Farine de froment,export,2020,2962,11912,2024
Farine de froment,export,2021,7719,29249,2024
Farine de froment,export,2022,4661,14003,2024
Farine de froment,export,2023,98,280,2024
Farine de froment,export,2024,0,0,2024
Arachides non grillées,export,2020,113684,266548,2024
Arachides non grillées,export,2021,154789,336002,2024
Arachides non grillées,export,2022,84789,177917,2024
Arachides non grillées,export,2023,66406,119412,2024
Arachides non grillées,export,2024,65308,121798,2024
Gomme arabique,export,2020,1463,4228,2024
Gomme arabique,export,2021,561,875,2024
Gomme arabique,export,2022,12724,4038,2024
Gomme arabique,export,2023,986,3307,2024
Gomme arabique,export,2024,680,390,2024
Huile brute d'arachide,export,2020,6791,8455,2024
Huile brute d'arachide,export,2021,13732,12629,2024
Huile brute d'arachide,export,2022,15913,13615,2024
Huile brute d'arachide,export,2023,3817,1827,2024
Huile brute d'arachide,export,2024,6892,5997,2024
Huile raffinée d'arachide,export,2020,,,2024
Huile raffinée d'arachide,export,2021,38,35,2024
Huile raffinée d'arachide,export,2022,114,87,2024
Huile raffinée d'arachide,export,2023,0,0,2024
Huile raffinée d'arachide,export,2024,75,88,2024
Conserves de poisson,export,2020,29827,10381,2024
Conserves de poisson,export,2021,11749,5062,2024
Conserves de poisson,export,2022,46682,13880,2024
