sens,mesure,annee,total,edition
export,valeur,2020,2261346,2024
export,valeur,2021,2884802,2024
export,valeur,2022,3563359,2024
export,valeur,2023,3223930,2024
export,valeur,2024,3909058,2024
export,poids,2020,6790837,2024
export,poids,2021,8038328,2024
export,poids,2022,6969968,2024
export,poids,2023,7428616,2024
export,poids,2024,9599905,2024
import,valeur,2020,4494412,2024
import,valeur,2021,5378494,2024
import,valeur,2022,7549365,2024
import,valeur,2023,7207803,2024
import,valeur,2024,7161394,2024
import,poids,2020,12988757,2024
import,poids,2021,14064950,2024
import,poids,2022,14497275,2024
import,poids,2023,15170373,2024
import,poids,2024,15539032,2024
