chapitre,sens,annee,valeur,poids,edition
Animaux vivants,export,2021,45,3,2025
Animaux vivants,export,2022,25,1,2025
Animaux vivants,export,2023,57,6,2025
Animaux vivants,export,2024,159,18,2025
Animaux vivants,export,2025,429,67,2025
Viandes et abats comestibles,export,2021,132,29,2025
Viandes et abats comestibles,export,2022,124,28,2025
Viandes et abats comestibles,export,2023,149,31,2025
Viandes et abats comestibles,export,2024,265,42,2025
Viandes et abats comestibles,export,2025,478,87,2025
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2021,301232,307054,2025
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2022,376688,285824,2025
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2023,297867,260407,2025
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2024,273378,231796,2025
"Poissons et crustacés, mollusques et autres invertébrés aquatiques",export,2025,310722,239631,2025
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2021,5546,3969,2025
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2022,7290,5040,2025
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2023,19592,6298,2025
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2024,9590,6387,2025
"Lait, oeufs d'oiseaux, miel, produits comestibles d'animaux n.d.c.a.",export,2025,10796,7859,2025
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2021,446,608,2025
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2022,600,412,2025
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2023,617,604,2025
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2024,658,842,2025
"Autres produits d'origine animale, non dénommés ni compris ailleurs",export,2025,556,1111,2025
Plantes vivantes et produits de la floriculture,export,2021,523,287,2025
Plantes vivantes et produits de la floriculture,export,2022,317,186,2025
Plantes vivantes et produits de la floriculture,export,2023,796,374,2025
Plantes vivantes et produits de la floriculture,export,2024,405,157,2025
Plantes vivantes et produits de la floriculture,export,2025,216,64,2025
"Légumes, plantes, racines et tubercules alimentaires",export,2021,60282,112228,2025
"Légumes, plantes, racines et tubercules alimentaires",export,2022,53360,66532,2025
"Légumes, plantes, racines et tubercules alimentaires",export,2023,66275,77355,2025
"Légumes, plantes, racines et tubercules alimentaires",export,2024,63562,75832,2025
"Légumes, plantes, racines et tubercules alimentaires",export,2025,63582,89836,2025
"Fruits comestibles, écorces d'agrumes ou de melons",export,2021,83801,141528,2025
"Fruits comestibles, écorces d'agrumes ou de melons",export,2022,90492,154728,2025
"Fruits comestibles, écorces d'agrumes ou de melons",export,2023,105749,237776,2025
"Fruits comestibles, écorces d'agrumes ou de melons",export,2024,77829,141965,2025
"Fruits comestibles, écorces d'agrumes ou de melons",export,2025,118860,191944,2025
"Café, thé, maté et épices",export,2021,1114,1401,2025
"Café, thé, maté et épices",export,2022,1929,1458,2025
"Café, thé, maté et épices",export,2023,664,2157,2025
"Café, thé, maté et épices",export,2024,2958,1829,2025
"Café, thé, maté et épices",export,2025,3686,2158,2025
Céréales,export,2021,25692,104495,2025
Céréales,export,2022,30457,111984,2025
Céréales,export,2023,26088,90454,2025
Céréales,export,2024,26902,94942,2025
Céréales,export,2025,22641,81826,2025
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2021,8485,30864,2025
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2022,5195,14801,2025
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2023,816,811,2025
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2024,1027,980,2025
"Produits de la minoterie, malt, amidons et fécules, inuline, gluten de froment",export,2025,1159,1038,2025
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2021,160889,347676,2025
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2022,89745,187159,2025
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2023,70270,126645,2025
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2024,78559,149901,2025
"Oléagineux, graines, semences, plantes industrielles, médicinales, pailles",export,2025,10727,17108,2025
"Gommes, résines et autres sucs et extraits végétaux",export,2021,561,875,2025
"Gommes, résines et autres sucs et extraits végétaux",export,2022,12725,4039,2025
"Gommes, résines et autres sucs et extraits végétaux",export,2023,1259,3310,2025
"Gommes, résines et autres sucs et extraits végétaux",export,2024,1083,394,2025
"Gommes, résines et autres sucs et extraits végétaux",export,2025,4262,4069,2025
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2021,22,15,2025
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2022,30,30,2025
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2023,35,34,2025
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2024,18,3,2025
Matières à tresser et autres produits d'origine végétale n.d.c.a.,export,2025,15,2,2025
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2021,18096,17731,2025
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2022,23947,21733,2025
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2023,13163,10112,2025
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2024,15708,14541,2025
"Graisses, huiles, cires (animales et végétales), graisses alimentaires",export,2025,29712,31020,2025
"Préparations de viandes, poissons, crustacés, mollusques",export,2021,11901,5108,2025
"Préparations de viandes, poissons, crustacés, mollusques",export,2022,46750,13904,2025
"Préparations de viandes, poissons, crustacés, mollusques",export,2023,47461,13591,2025
"Préparations de viandes, poissons, crustacés, mollusques",export,2024,67325,19609,2025
"Préparations de viandes, poissons, crustacés, mollusques",export,2025,37839,11643,2025
