pays,sens,annee
FRANCE,export,2025
BELGIQUE,export,2025
PAYS BAS,export,2025
ALLEMAGNE,export,2025
ITALIE,export,2025
DANEMARK,export,2025
GRECE,export,2025
LUXEMBOURG,export,2025
SUEDE,export,2025
FINLANDE,export,2025
AUTRICHE,export,2025
PORTUGAL,export,2025
ESPAGNE,export,2025
MALTE,export,2025
POLOGNE,export,2025
REPUBLIQUE DE SLOVAQUIE,export,2025
REPUBLIQUE TCHEQUE,export,2025
HONGRIE,export,2025
REPUBLIQUE DE LITUANIE,export,2025
ROUMANIE,export,2025
REPUBLIQUE D'ESTONIE,export,2025
BULGARIE,export,2025
CROATIE,export,2025
SLOVENIE,export,2025
CHYPRE,export,2025
ROYAUME UNI,export,2025
ISLANDE,export,2025
NORVEGE,export,2025
SUISSE,export,2025
ANDORRE,export,2025
GIBRALTAR,export,2025
MONTENEGRO,export,2025
TURQUIE,export,2025
RUSSIE,export,2025
REPUBLIQUE D'UKRAINE,export,2025
REPUBLIQUE D'AZERBADJAN,export,2025
ALBANIE,export,2025
ARMENIE,export,2025
REPUBLIQUE DE GEORGIE,export,2025
TCHAD,export,2025
CAMEROUN,export,2025
CENTRE AFRIQUE,export,2025
GUINEE EQUATORIALE,export,2025
GABON,export,2025
CONGO,export,2025
CONGO DEMOCRATIQUE,export,2025
RWANDA,export,2025
BURUNDI,export,2025
ILES CANARIES,export,2025
MAROC,export,2025
ALGERIE,export,2025
TUNISIE,export,2025
LIBYE,export,2025
EGYPTE,export,2025
SOUDAN,export,2025
MAURITANIE,export,2025
MALI,export,2025
BURKINA FASO,export,2025
NIGER,export,2025
ILES DU CAP VERT,export,2025
GAMBIE,export,2025
GUINEE BISSAU,export,2025
GUINEE REPUBLIQUE,export,2025
SIERRA LEONE,export,2025
LIBERIA,export,2025
COTE D'IVOIRE,export,2025
GHANA,export,2025
TOGO,export,2025
BENIN,export,2025
NIGERIA,export,2025
ANGOLA,export,2025
ETHIOPIE,export,2025
DJIBOUTI,export,2025
REPUBLIQUE DE SOMALIE,export,2025
KENYA,export,2025
OUGANDA,export,2025
TANZANIE,export,2025
MOZAMBIQUE,export,2025
MADAGASCAR,export,2025
REUNION,export,2025
ILES MAURICE,export,2025
COMORES ILE,export,2025
ZAMBIE,export,2025
ZIMBABWE,export,2025
MALAWI,export,2025
AFRIQUE DU SUD,export,2025
BOTSWANA,export,2025
NAMIBIE,export,2025
MEXIQUE,export,2025
GUATEMALA,export,2025
NICARAGUA,export,2025
COSTA RICA,export,2025
PANAMA,export,2025
HAITI,export,2025
ILES BRAHAMAS,export,2025
ILES CALQUES,export,2025
SAINT DOMINGUE,export,2025
GUADELOUPE,export,2025
MARTINIQUE,export,2025
ANTIGUA-BARBUDA,export,2025
JAMAIQUE,export,2025
TRINIDAD ET TOBAGO,export,2025
CURUCAO,export,2025
COLOMBIE,export,2025
VENEZUELA,export,2025
GUYANA,export,2025
GUYANE FRANCAISE,export,2025
EQUATEUR,export,2025
PEROU,export,2025
BRESIL,export,2025
CHILI,export,2025
BOLIVIE,export,2025
ARGENTINE,export,2025
ETATS UNIS D'AMERIQUE,export,2025
CANADA,export,2025
GROENLAND,export,2025
SAINT PIERRE ET MIQUELON,export,2025
LIBAN,export,2025
SYRIE,export,2025
IRAK,export,2025
IRAN,export,2025
ISRAEL,export,2025
JORDANIE,export,2025
ARABIE SEOUDITE,export,2025
KOWEIT,export,2025
BAHREIN,export,2025
QATAR,export,2025
EMIRATS ARABES UNIS,export,2025
OMAN,export,2025
AFGANISTAN,export,2025
PAKISTAN,export,2025
INDE,export,2025
BENGLADESH,export,2025
NEPAL,export,2025
THAILANDE,export,2025
LAOS,export,2025
VIETNAM,export,2025
INDONESIE,export,2025
MALAISIE,export,2025
BRUNEI,export,2025
SINGAPOUR,export,2025
PHILIPPINE,export,2025
REPUBLIQUE POPULAIRE DE CHINE,export,2025
COREE DU SUD,export,2025
JAPON,export,2025
TAIWAN,export,2025
HONG-KONG,export,2025
AUSTRALIE,export,2025
NOUVELLE GUINEE ET PAPOUASIE,export,2025
NAURU,export,2025
NOUVELLE ZELANDE,export,2025
ILES COOK,export,2025
COSTA RICA,import,2025
PANAMA,import,2025
ILES BRAHAMAS,import,2025
ILES CALQUES,import,2025
SAINT DOMINGUE,import,2025
ILES VIERGES DES USA,import,2025
GUADELOUPE,import,2025
ANTIGUA-BARBUDA,import,2025
JAMAIQUE,import,2025
ST VINCENT-ILES GRENADINES,import,2025
TRINIDAD ET TOBAGO,import,2025
COLOMBIE,import,2025
VENEZUELA,import,2025
GUYANA,import,2025
SURINAM,import,2025
EQUATEUR,import,2025
PEROU,import,2025
BRESIL,import,2025
CHILI,import,2025
PARAGUAY,import,2025
URUGUAY,import,2025
ARGENTINE,import,2025
ETATS UNIS D'AMERIQUE,import,2025
CANADA,import,2025
GROENLAND,import,2025
LIBAN,import,2025
SYRIE,import,2025
IRAK,import,2025
IRAN,import,2025
ISRAEL,import,2025
JORDANIE,import,2025
ARABIE SEOUDITE,import,2025
KOWEIT,import,2025
BAHREIN,import,2025
QATAR,import,2025
EMIRATS ARABES UNIS,import,2025
OMAN,import,2025
YEMEN,import,2025
AFGANISTAN,import,2025
PAKISTAN,import,2025
INDE,import,2025
BENGLADESH,import,2025
SRI-LANKA,import,2025
UNION BIRMANE,import,2025
THAILANDE,import,2025
LAOS,import,2025
VIETNAM,import,2025
CAMBODGE,import,2025
INDONESIE,import,2025
MALAISIE,import,2025
BRUNEI,import,2025
TIMOR PORTUGAIS,import,2025
SINGAPOUR,import,2025
PHILIPPINE,import,2025
MONGOLIE,import,2025
