sens,mesure,annee,total,edition
export,valeur,2021,2884802,2025
export,valeur,2022,3563359,2025
export,valeur,2023,3223930,2025
export,valeur,2024,3909058,2025
export,valeur,2025,5805626,2025
export,poids,2021,8038328,2025
export,poids,2022,6969968,2025
export,poids,2023,7428616,2025
export,poids,2024,9599905,2025
export,poids,2025,14186349,2025
import,valeur,2021,5378494,2025
import,valeur,2022,7549365,2025
import,valeur,2023,7207803,2025
import,valeur,2024,7012377,2025
import,valeur,2025,6973859,2025
import,poids,2021,14064950,2025
import,poids,2022,14497275,2025
import,poids,2023,15170373,2025
import,poids,2024,15520015,2025
import,poids,2025,16350868,2025
